solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M112,F224,M06 แปลงที่ 8 -42160022,14.779802588473,99.808443733269,9.89,Picker,2023-02-12,2023-02-20,2023-02-20,0.174,10:34,00:01,17:29,00:50,18:18,11.868,11868.0
S1,M112,F229,M06 แปลงที่ 13 -42160127,14.779593312897,99.807373890946,5.76,Picker,2023-02-22,2023-02-22,2023-02-22,0.045,13:04,00:00,14:05,00:33,14:38,6.912,6912.0
S1,M112,F233,M06 แปลงที่ 17 -42160141,14.782117897738,99.807899768941,2.11,Picker,2023-02-22,2023-02-22,2023-02-22,0.288,08:14,00:01,14:39,00:18,14:57,2.532,2532.0
S1,M112,F234,M06 แปลงที่ 18 -42160121,14.781353339143,99.808004428368,3.4,Picker,2023-02-22,2023-02-22,2023-02-22,0.083,08:50,00:00,14:58,00:24,15:21,4.08,4080.0
S1,M112,F231,M06 แปลงที่ 15 -42160142,14.780472589442,99.807140819366,2.1,Picker,2023-02-22,2023-02-22,2023-02-22,0.1,10:19,00:00,15:21,00:18,15:40,2.52,2520.0
S1,M112,F230,M06 แปลงที่ 14 -42160013,14.780833724681,99.807631073308,7.66,Picker,2023-02-22,2023-02-22,2023-02-22,0.0,09:51,00:00,15:40,00:41,16:20,9.192,9192.0
S1,M112,F235,M06 แปลงที่ 19 -42160088,14.781293042979,99.806331462076,16.74,Picker,2023-02-22,2023-02-22,2023-02-22,0.0,12:14,00:00,16:20,01:17,17:37,20.088,20088.0
S1,M112,F228,M06 แปลงที่ 12 -42160101,14.785634693044,99.808059924664,12.07,Picker,2023-02-21,2023-02-22,2023-02-22,0.272,15:46,00:01,17:38,00:58,18:37,14.484,14484.0
S1,M112,F226,M06 แปลงที่ 10 -42160004,14.785233840102,99.809501854737,12.17,Picker,2023-02-21,2023-02-22,2023-02-22,1.325,11:12,00:04,18:41,00:59,19:39,14.604,14604.0
S1,M112,F227,M06 แปลงที่ 11 -42160029,14.786192637854,99.807580727554,18.72,Picker,2023-02-21,2023-02-23,2023-02-22,0.582,14:15,00:02,19:41,01:25,09:06,22.464,22464.0
S1,M112,F236,M06 แปลงที่ 20 -42160020,14.78058264753,99.805323118006,9.31,Picker,2023-02-22,2023-02-23,2023-02-23,3.564,14:17,00:11,09:17,00:47,10:04,11.172,11172.0
