solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M118,F257,M33 แปลงที่ 1 -40050045,14.835687687704,99.92176063851,9.58,Sweeper,2023-01-07,2023-01-07,2023-01-07,0.0,08:00,00:00,08:00,04:57,13:57,11.496,11496.0
S1,M118,F258,M33 แปลงที่ 2 -40050029,14.836489496944,99.912813779069,6.85,Sweeper,2023-01-08,2023-01-08,2023-01-08,1.224,08:00,00:04,08:00,03:36,11:36,8.22,8220.0
S1,M118,F263,M33 แปลงที่ 7 -40050051,14.827148203454,99.877875167856,11.31,Sweeper,2023-01-15,2023-01-15,2023-01-15,4.408,08:00,00:13,08:00,05:49,14:49,13.572,13572.0
S1,M118,F269,M33 แปลงที่ 13 -40050007,14.84633845203,99.917227277384,6.14,Sweeper,2023-01-21,2023-01-21,2023-01-21,5.421,08:00,00:16,08:00,03:14,11:14,7.368,7368.0
S1,M118,F281,M33 แปลงที่ 25 -46110040,14.846003544393,99.896376599265,3.53,Sweeper,2023-02-01,2023-02-01,2023-02-01,2.505,08:00,00:08,08:00,01:56,09:56,4.236,4236.0
S1,M118,F280,M33 แปลงที่ 24 -46110071,14.845954613376,99.897183138955,5.69,Sweeper,2023-02-01,2023-02-01,2023-02-01,0.177,08:00,00:01,09:56,03:01,13:57,6.828,6828.0
S1,M119,SS,จุดเริ่มต้น,14.8357,99.9218,0.0,Sweeper,2023-01-06,2023-01-10,2023-01-10,0.0,00:00,00:00,00:00,00:00,00:00,0.0,0.0
S1,M119,F260,M33 แปลงที่ 4 -40050065,14.831763654157,99.90584316098,17.76,Sweeper,2023-01-10,2023-01-11,2023-01-10,0.0,08:00,00:05,08:00,09:03,09:03,21.312,21312.0
S1,M119,F265,M33 แปลงที่ 9 -40050008,14.825933478485,99.878563901562,9.56,Sweeper,2023-01-18,2023-01-18,2023-01-18,4.531,08:00,00:14,08:00,04:57,13:57,11.472,11472.0
S1,M119,F266,M33 แปลงที่ 10 -40050055,14.840947947068,99.848326821,3.75,Sweeper,2023-01-19,2023-01-19,2023-01-19,5.657,08:00,00:17,08:00,02:02,10:02,4.5,4500.0
S1,M119,F267,M33 แปลงที่ 11 -40050056,14.840939451215,99.848550562307,4.46,Sweeper,2023-01-19,2023-01-19,2023-01-19,0.0,08:00,00:00,10:02,02:24,13:26,5.352,5352.0
S1,M119,F274,M33 แปลงที่ 18 -46110044,14.847504000123,99.896862738965,9.54,Sweeper,2023-01-25,2023-01-25,2023-01-25,8.688,08:00,00:26,08:00,04:56,13:56,11.448,11448.0
S1,M119,F277,M33 แปลงที่ 21 -46110008,14.848560883203,99.89670239799,26.1,Sweeper,2023-01-28,2023-01-29,2023-01-28,0.106,08:00,00:00,08:00,13:13,14:13,31.32,31320.0
S1,M119,F282,M33 แปลงที่ 26 -46110075,14.845151521327,99.896450321138,10.33,Sweeper,2023-02-02,2023-02-02,2023-02-02,0.447,08:00,00:01,08:00,05:20,14:20,12.396,12396.0
